Department family,Entity,Entered On,Supplier Name,Expense Type,Expense Area,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,COMPLETE MEDIA GROUP,Advertising,Commercial,10166,1900
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10168,3443.83
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,EDF ENERGY,Electricity,Operations,10169,34979.9
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,EDF ENERGY,Electricity,Operations,10170,31558.24
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10174,499.13
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10176,3805.39
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10178,3170.78
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,Visit London Ltd,Marketing,Commercial,10184,500
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,Marmalade On Toast,Marketing,Commercial,10186,500
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,VOHM,Marketing,Commercial,10187,600
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,10189,1030
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,INSIGHT DIRECT UK LTD,IT Equipment Maintenance,ITC Department,10192,810.97
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,PORTAPROMPT LTD,Cost of Sales - Equipment Hire,Interface,10193,448
Communities And Local Government,Queen Elizabeth II Conference Centre,07/12/2009,INSIGHT DIRECT UK LTD,IT Equipment Maintenance,ITC Department,10196,890.93
Communities And Local Government,Queen Elizabeth II Conference Centre,08/12/2009,ODB Group Ltd,Office Move,Commercial,10199,606
Communities And Local Government,Queen Elizabeth II Conference Centre,08/12/2009,Leith's at the Centre,Marketing,Commercial,10202,969.55
Communities And Local Government,Queen Elizabeth II Conference Centre,08/12/2009,NICK POWERS LTD,Cost of Sales - Freelance Technicians,Interface,10204,893
Communities And Local Government,Queen Elizabeth II Conference Centre,08/12/2009,MARTIN LEBERL T/A Ambient Sound Ltd,Cost of Sales - Freelance Technicians,Interface,10205,631
Communities And Local Government,Queen Elizabeth II Conference Centre,08/12/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,10206,1103
Communities And Local Government,Queen Elizabeth II Conference Centre,08/12/2009,PHILIP DE JONG T/A Mr Durden Ltd,Cost of Sales - Freelance Technicians,Interface,10207,630
Communities And Local Government,Queen Elizabeth II Conference Centre,09/12/2009,EXPOTEL HOTEL RESERVATIONS LTD,Cost of Sales - Commission,Commercial,10208,1018.9
Communities And Local Government,Queen Elizabeth II Conference Centre,09/12/2009,The PR Firm,Cost of Sales - Commission,Commercial,10210,791.5
Communities And Local Government,Queen Elizabeth II Conference Centre,09/12/2009,GovNet Communications,Cost of Sales - Commission,Commercial,10211,1112.7
Communities And Local Government,Queen Elizabeth II Conference Centre,09/12/2009,GovNet Communications,Cost of Sales - Commission,Commercial,10212,1147.7
Communities And Local Government,Queen Elizabeth II Conference Centre,09/12/2009,GovNet Communications,Cost of Sales - Commission,Commercial,10213,1068.2
Communities And Local Government,Queen Elizabeth II Conference Centre,09/12/2009,PORTAPROMPT LTD,Cost of Sales - Equipment Hire,Interface,10216,448
Communities And Local Government,Queen Elizabeth II Conference Centre,09/12/2009,JIM COUGHLAN VISUAL COMM. LTD,Cost of Sales - Freelance Technicians,Interface,10218,893
Communities And Local Government,Queen Elizabeth II Conference Centre,10/12/2009,THAMES WATER UTILITIES LTD,Water,Operations,10220,3994.97
Communities And Local Government,Queen Elizabeth II Conference Centre,10/12/2009,RAY WILSON T/A Wilson Audio Visual Engineering Ltd,Cost of Sales - Freelance Technicians,Interface,10223,662
Communities And Local Government,Queen Elizabeth II Conference Centre,10/12/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10227,1355.2
Communities And Local Government,Queen Elizabeth II Conference Centre,10/12/2009,TIM HIGHAM,Cost of Sales - Freelance Technicians,Interface,10229,693
Communities And Local Government,Queen Elizabeth II Conference Centre,10/12/2009,LAWRENCE TILDESLEY,Cost of Sales - Freelance Technicians,Interface,10230,662
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,GovNet Communications,Cost of Sales - Commission,Commercial,10232,1068.2
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,WESTMINSTER SONUS LIMITED,Cost of Sales - Equipment Hire,Interface,10233,461.5
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,ITC Department,10236,64.22
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Postage Stamps,Business Centre,10236,108.81
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Travel,Interface,10236,1018.92
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Mobile Phone Costs,Interface,10236,82.94
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Operations,10236,706.12
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Carriage,Interface,10236,160
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,10236,66.19
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Stationery,Event Management,10236,288.72
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Uniforms,Interface,10236,19.97
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Travel,ITC Department,10236,16.67
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,IT Equipment Maintenance,ITC Department,10236,3586.94
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Licence Costs,Administration,10236,186.67
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Uniforms,ITC Department,10236,87.63
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,10236,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Interface,10236,628.5
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Travel,Administration,10236,102.1
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,BARCLAYCARD PROCUREMENT CARD,Training,Administration,10236,1211.61
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,CCS MEDIA LTD,Maintenance,Operations,10238,534.1
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,ISDN DATACOM LTD T/as CERENO,Cost of Sales - Equipment Hire,ITC Department,10241,835.74
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10242,7365.98
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,HELEN BUSHELL,Cost of Sales - Freelance Technicians,Interface,10243,631
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,10244,693
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,AP SET CONSTRUCTION LTD,Cost of Sales - Sets,Interface,10245,6820
Communities And Local Government,Queen Elizabeth II Conference Centre,11/12/2009,COMSOL COMMUNICATION SOLUTIONS LTD,IT Equipment Maintenance,ITC Department,10246,1327
Communities And Local Government,Queen Elizabeth II Conference Centre,14/12/2009,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,10250,2641
Communities And Local Government,Queen Elizabeth II Conference Centre,14/12/2009,PETER SIMMONS,Cost of Sales - Freelance Technicians,Interface,10251,662
Communities And Local Government,Queen Elizabeth II Conference Centre,14/12/2009,MICHAEL NEVARD,Cost of Sales - Freelance Technicians,Interface,10254,893
Communities And Local Government,Queen Elizabeth II Conference Centre,14/12/2009,DAVID BOYCE,Cost of Sales - Freelance Technicians,Interface,10255,869
Communities And Local Government,Queen Elizabeth II Conference Centre,15/12/2009,LAWRENCE TILDESLEY,Cost of Sales - Freelance Technicians,Interface,10258,1048
Communities And Local Government,Queen Elizabeth II Conference Centre,15/12/2009,WESTMINSTER SONUS LIMITED,Cost of Sales - Equipment Hire,Interface,10259,895
Communities And Local Government,Queen Elizabeth II Conference Centre,15/12/2009,LIME,Building Improvements,Operations,10262,1560
Communities And Local Government,Queen Elizabeth II Conference Centre,15/12/2009,LIME,Building Improvements,Operations,10263,4490
Communities And Local Government,Queen Elizabeth II Conference Centre,15/12/2009,LIME,Building Improvements,Operations,10264,19728
Communities And Local Government,Queen Elizabeth II Conference Centre,15/12/2009,QED PRODUCTIONS LTD,Cost of Sales - Sets,Interface,10269,765
Communities And Local Government,Queen Elizabeth II Conference Centre,15/12/2009,QED PRODUCTIONS LTD,Cost of Sales - Equipment Hire,Interface,10269,50
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,Fast Future Research Ltd,Marketing,Commercial,10272,5000
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,Fast Future Research Ltd,Marketing,Commercial,10272,5000
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,MOORE PEOPLE KENNER LTD,Agency Labour,Event Management,10277,897.75
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,10284,624
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,CHRISTOPHER SHEAD T/A Global Idea,Marketing,Commercial,10284,200
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,MATTHEW JACKSON,Cost of Sales - Freelance Technicians,Interface,10286,693
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,Bosco O'Toole,Cost of Sales - Freelance Technicians,Interface,10288,831
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,10291,507.4
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,10292,608
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,10293,864
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,10294,679
Communities And Local Government,Queen Elizabeth II Conference Centre,16/12/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,10295,693
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,A PERTON SIGNS LIMITED,Cost of Sales - Sets,Interface,10296,4799
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,A PERTON SIGNS LIMITED,Cost of Sales - Signage,Interface,10296,2746
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,A PERTON SIGNS LIMITED,Cost of Sales - Freelance Technicians,Interface,10296,300
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,Leith's at the Centre,Entertaining,Event Management,10299,215.85
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,Leith's at the Centre,Entertaining,Commercial,10299,20.65
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,Leith's at the Centre,Entertaining,Administration,10299,45.23
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,Leith's at the Centre,Entertaining,Interface,10299,125.9
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,Leith's at the Centre,Entertaining,Administration,10299,45.25
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,Leith's at the Centre,Entertaining,Commercial,10299,4.42
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,Leith's at the Centre,Entertaining,ITC Department,10299,4.43
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,Leith's at the Centre,Entertaining,Interface,10299,8.85
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,GREATER LONDON HIRE LTD,Travel,Interface,10300,152.5
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,GREATER LONDON HIRE LTD,Travel,Event Management,10300,1346.75
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,GREATER LONDON HIRE LTD,Travel,Operations,10300,56.63
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,GREATER LONDON HIRE LTD,Travel,ITC Department,10300,49.36
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,CORONA ENERGY,Gas,Operations,10301,9036.91
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,ABS CASES LTD,Maintenance,Interface,10303,471
Communities And Local Government,Queen Elizabeth II Conference Centre,17/12/2009,MERCURY AV LIMITED,Audio Equipment,Interface,10311,16375.75
Communities And Local Government,Queen Elizabeth II Conference Centre,21/12/2009,AZTEC EVENT SERVICES LTD,Cost of Sales - Equipment Hire,ITC Department,10314,1260
Communities And Local Government,Queen Elizabeth II Conference Centre,21/12/2009,VERIZON UK LIMITED,Cost of Sales - Telecommunications,ITC Department,10316,584.08
Communities And Local Government,Queen Elizabeth II Conference Centre,21/12/2009,VERIZON UK LIMITED,Marketing,Commercial,10317,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,21/12/2009,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,10317,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,21/12/2009,VERIZON UK LIMITED,Cost of Sales - Equipment Hire,ITC Department,10318,2059
Communities And Local Government,Queen Elizabeth II Conference Centre,21/12/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10322,714.85
